Endereço,Latitude,Longitude,Região
"Rua Araújo Leite, 146, Centro, Piedade",-23.71194,-47.42778,"Núcleo Bom Pastor, Piedade, São Paulo, Brasil"
"Rua DOS ALPES, 1.109, Barcelona, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Rua BAYARD NOBREGA DE ALMEIDA, 91, JARDIM PRESTES DE BARROS, Sorocaba",-23.5095349,-47.4311572,"Jardim Prestes de Barros, Sorocaba, São Paulo, Brasil"
"Rua BARAO DE TATUI, 1368, JARDIM VERGUEIRO, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Rua FERNANDO SILVA, 110, Jd Astro, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Avenida ANTONIO CORREA DA SILVA, 432, Centro, Piedade",-23.71194,-47.42778,"Núcleo Bom Pastor, Piedade, São Paulo, Brasil"
"Rua CORONEL NOGUEIRA PADILHA, 2112, VILA HORTENCIA, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Rua AVENIDA ANTONIO CARLOS COMITRE, 510, Parque Campolim, Sorocaba",-23.52819,-47.46832,"Parque Campolim, Sorocaba, São Paulo, Brasil"
"Rua CORONEL NOGUEIRA PADILHA, 1273, VILA HORTENCIA, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Rua DOUTOR CAMPOS SALLES, 663, VILA ASSIS, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Avenida CRUZEIRO DO SUL, 1009, Rochdale, Osasco",-23.5065319,-46.7772184,"Jardim Rochdale, Osasco, São Paulo, Brasil"
"Rua PROFESSORA ADELAIDE ESCOBAR BUENO, 397, Munhoz Junior, Osasco",-23.4982773,-46.8038889,"Jardim Elvira, Osasco, São Paulo, Brasil"
"Rua CAMPINA GRANDE, 383, Rochdale, Osasco",-23.5141787,-46.7807649,"Vila Canaã, Osasco, São Paulo, Brasil"
"Rua PORTO ALEGRE, 540, Rochdale, Osasco",-23.5119988,-46.779681,"Jardim Rochdale, Osasco, São Paulo, Brasil"
"Rua JOAQUIM SEVERINO ALVES, 48, Vila Menk, Osasco",-23.5325,-46.79167,"Jardim das Flòres, Osasco, São Paulo, Brasil"
"Rua MARIO QUINTANA, 260, Recanto das Rosas, Osasco",-23.5807046,-46.8147375,"Jardim Santa Maria, Osasco, São Paulo, Brasil"
"Rua PROFESSOR JOSE AZEVEDO MINHOTO, 378, VILA QUITAUNA (KM18), Osasco",-23.5294697,-46.7941962,"Vila Quitauna, Osasco, São Paulo, Brasil"
"Rua PARANAENSE, 878, JARDIM CONCEICAO, Osasco",-23.5784665,-46.8019092,"Conceição, Osasco, São Paulo, Brasil"
"Rua PARDINHO, 145, Munhoz Junior, Osasco",-23.5021898,-46.8040452,"Jardim Elvira, Osasco, São Paulo, Brasil"
"Rua  RODOLFO ZOLLI, 242, Presidente Altino, Osasco",-23.5325,-46.79167,"Jardim das Flòres, Osasco, São Paulo, Brasil"
"Rua VALDIR SOARES LOPES, 37, SAO PEDRO, Osasco",-23.5435255,-46.8146513,"Padroeira, Osasco, São Paulo, Brasil"
"Rua Paulo Soares, 509, Jardim Santo Antonio, Osasco",-23.5583958,-46.79401,"Jardim Santo Antônio, Osasco, São Paulo, Brasil"
"Rua GASPARINO LUNARDI, 331, Jardim das Flores, Osasco",-23.5293352,-46.7930619,"Vila Quitauna, Osasco, São Paulo, Brasil"
"Avenida JOSE BARBOSA DE SIQUEIRA, 1026, JARDIM PADROEIRA I, Osasco",-23.5325,-46.79167,"Jardim das Flòres, Osasco, São Paulo, Brasil"
"Avenida JOSE BARBOSA DE SIQUEIRA, 974, JARDIM PADROEIRA I, Osasco",-23.5325,-46.79167,"Jardim das Flòres, Osasco, São Paulo, Brasil"
"Rua GENERAL NEWTON ESTILAC LEAL, 1361, Pestana, Osasco",-23.5325,-46.79167,"Jardim das Flòres, Osasco, São Paulo, Brasil"
"Rua COELHO NETO, 126, Jardim Platina, Osasco",-23.5325,-46.79167,"Jardim das Flòres, Osasco, São Paulo, Brasil"
"Avenida AUTONOMISTAS, DOS, 1400, Vila Yara, Osasco",-23.5389781,-46.7653358,"Osasco, São Paulo, Brasil"
"Rua JUAN VICENTE, 482, Bandeiras, Osasco",-23.559865,-46.8166755,"Padroeira, Osasco, São Paulo, Brasil"
"Rua MANAUS, 01, Cohab, Carapicuíba",-23.5340636,-46.8254445,"Cohab II, Carapicuíba, São Paulo, Brasil"
"Rua RUA CAMBIRA, 20, Vila Maria Helena, Carapicuíba",-23.52272,-46.835,"Centro, Carapicuíba, São Paulo, Brasil"
